model,n_asset_dates,mean_prediction_repetitions,mean_group_composition_prediction_sd,spearman_sd_vs_absolute_rank_error,spearman_sd_vs_absolute_prediction_z,mean_sd_predicted_middle_80pct,mean_sd_predicted_tail_deciles
FinPFN,120620,1.6212070966672194,0.014388693486818068,-0.03150118743411307,-0.0983213136765987,0.015135497850477233,0.011402559209535349
TabPFN,120620,1.6212070966672194,0.08303647416131678,-0.004178748850484981,-0.007121613284539885,0.07017611672039126,0.13445925105068987
