model,id,tail_periods,top_periods,bottom_periods,cumulative_signed_contribution_decimal,mean_signed_contribution_decimal
FinPFN,300285.XSHE,31,17,14,0.0015960643192701092,5.148594578290675e-05
FinPFN,300291.XSHE,33,22,11,0.000494288083076849,1.4978426759904514e-05
FinPFN,300296.XSHE,40,33,7,-0.0010398894594013332,-2.599723648503333e-05
FinPFN,300297.XSHE,6,2,4,0.0018448610045720014,0.00030747683409533354
FinPFN,300308.XSHE,38,25,13,-0.005128427427105914,-0.0001349586165027872
FinPFN,300315.XSHE,23,17,6,0.0015856320352655383,6.894052327241471e-05
FinPFN,300324.XSHE,31,18,13,0.0011477036951203113,3.7022699842590684e-05
FinPFN,300357.XSHE,34,19,15,0.0013569322835434625,3.990977304539595e-05
FinPFN,300363.XSHE,48,15,33,-0.004844258847532165,-0.00010092205932358677
FinPFN,300373.XSHE,7,6,1,0.0018968944773294677,0.0002709849253327811
FinPFN,300376.XSHE,48,35,13,0.0007174397251136344,1.4946660939867385e-05
FinPFN,300383.XSHE,35,22,13,-0.003443807030206063,-9.839448657731608e-05
FinPFN,300390.XSHE,23,11,12,0.001802354581814668,7.836324268759426e-05
FinPFN,300418.XSHE,54,27,27,-0.006921784487756115,-0.00012818119421770583
FinPFN,300459.XSHE,16,8,8,0.0015274806641639104,9.54675415102444e-05
FinPFN,300463.XSHE,32,21,11,0.005283302350139388,0.00016510319844185588
FinPFN,300474.XSHE,63,11,52,-0.005996604745203738,-9.518420230482124e-05
FinPFN,300482.XSHE,51,9,42,-0.0007498866620628357,-1.470366004044776e-05
FinPFN,300558.XSHE,37,16,21,-0.0006163676227043032,-1.66585843974136e-05
FinPFN,300568.XSHE,12,9,3,0.0016960762640920552,0.00014133968867433794
FinPFN,300604.XSHE,18,2,16,-0.0007076544246222162,-3.931413470123423e-05
FinPFN,300618.XSHE,20,13,7,-0.00043056974405153035,-2.152848720257652e-05
FinPFN,300630.XSHE,37,17,20,0.002105976838300804,5.691829292704876e-05
FinPFN,300676.XSHE,18,14,4,0.0012679855701667512,7.044364278704174e-05
FinPFN,300677.XSHE,27,11,16,0.00017710292331165226,6.559367530061195e-06
FinPFN,300682.XSHE,11,7,4,-0.0015168274755114257,-0.00013789340686467505
FinPFN,300699.XSHE,32,13,19,0.002216997722136402,6.928117881676256e-05
FinPFN,300724.XSHE,48,11,37,0.01370967660750979,0.00028561826265645395
FinPFN,300741.XSHE,40,18,22,0.00019162447445061296,4.790611861265324e-06
FinPFN,300751.XSHE,19,6,13,-0.0008696151266938841,-4.5769217194414955e-05
FinPFN,300763.XSHE,19,3,16,0.002858339705040452,0.00015043893184423432
