model,seed,date,portfolio,gross_return_decimal,turnover_one_way,cost_rate_bps_per_one_way_turnover,transaction_cost_decimal,net_return_decimal,gross_compounded_wealth,net_compounded_wealth
FinPFN,42,2022-01-05 09:30:00,long,0.003972042461282439,1.0,0,0.0,0.003972042461282439,1.0039720424612824,1.0039720424612824
FinPFN,42,2022-01-06 09:30:00,long,0.005511277963217498,0.9230769230769218,0,0.0,0.005511277963217498,1.0095052114545857,1.0095052114545857
FinPFN,42,2022-01-07 09:30:00,long,0.003722079157586387,0.9749999999999986,0,0.0,0.003722079157586387,1.0132626697616158,1.0132626697616158
FinPFN,42,2022-01-10 09:30:00,long,0.0028582139837960863,0.9499999999999987,0,0.0,0.0028582139837960863,1.016158791293587,1.016158791293587
FinPFN,42,2022-01-11 09:30:00,long,-0.001391474100726317,0.874999999999999,0,0.0,-0.001391474100726317,1.0147448326532766,1.0147448326532766
FinPFN,42,2022-01-12 09:30:00,long,-0.004362708028235785,0.8999999999999988,0,0.0,-0.004362708028235785,1.0103177972252495,1.0103177972252495
FinPFN,42,2022-01-13 09:30:00,long,-8.001168360935901e-05,0.8249999999999991,0,0.0,-8.001168360935901e-05,1.0102369599973129,1.0102369599973129
FinPFN,42,2022-01-14 09:30:00,long,0.000636829812704713,0.9749999999999985,0,0.0,0.000636829812704713,1.0108803090113352,1.0108803090113352
FinPFN,42,2022-01-17 09:30:00,long,-0.002036501416731378,0.9499999999999986,0,0.0,-0.002036501416731378,1.0088216498298876,1.0088216498298876
FinPFN,42,2022-01-18 09:30:00,long,0.0027024647035426203,0.9499999999999986,0,0.0,0.0027024647035426203,1.0115479547307225,1.0115479547307225
FinPFN,42,2022-01-19 09:30:00,long,0.002056123419167343,0.9499999999999986,0,0.0,0.002056123419167343,1.0136278221700552,1.0136278221700552
FinPFN,42,2022-01-20 09:30:00,long,0.00393361962650169,0.9268292682926826,0,0.0,0.00393361962650169,1.0176150484653115,1.0176150484653115
FinPFN,42,2022-01-21 09:30:00,long,-0.001487428521364067,0.9756097560975605,0,0.0,-0.001487428521364067,1.016101418818455,1.016101418818455
FinPFN,42,2022-01-24 09:30:00,long,0.0032506321145979976,0.9024390243902435,0,0.0,0.0032506321145979976,1.0194043907221548,1.0194043907221548
FinPFN,42,2022-01-25 09:30:00,long,-0.0017314555143660099,0.9999999999999997,0,0.0,-0.0017314555143660099,1.01763933736847,1.01763933736847
FinPFN,42,2022-01-26 09:30:00,long,0.004373681228456313,0.9499999999999987,0,0.0,0.004373681228456313,1.022090167435657,1.022090167435657
FinPFN,42,2022-01-27 09:30:00,long,-0.0020069959703987363,0.9499999999999986,0,0.0,-0.0020069959703987363,1.0200388365882296,1.0200388365882296
FinPFN,42,2022-01-28 09:30:00,long,0.005297829558158713,0.9749999999999985,0,0.0,0.005297829558158713,1.0254428284871766,1.0254428284871766
FinPFN,42,2022-02-07 09:30:00,long,0.003273976371772736,0.9756097560975605,0,0.0,0.003273976371772736,1.0288001040782475,1.0288001040782475
FinPFN,42,2022-02-08 09:30:00,long,-0.003994004671080691,0.9024390243902434,0,0.0,-0.003994004671080691,1.0246910716569506,1.0246910716569506
FinPFN,42,2022-02-09 09:30:00,long,-0.002233930080078037,0.8780487804878041,0,0.0,-0.002233930080078037,1.0224019834491889,1.0224019834491889
FinPFN,42,2022-02-10 09:30:00,long,-0.001030857837196041,0.9268292682926824,0,0.0,-0.001030857837196041,1.0213480323517854,1.0213480323517854
FinPFN,42,2022-02-11 09:30:00,long,-0.0030717069208343823,0.9024390243902436,0,0.0,-0.0030717069208343823,1.0182107505322298,1.0182107505322298
FinPFN,42,2022-02-14 09:30:00,long,-0.000551048068043242,0.8536585365853664,0,0.0,-0.000551048068043242,1.017649667465288,1.017649667465288
FinPFN,42,2022-02-15 09:30:00,long,-0.004043593407645668,0.9512195121951217,0,0.0,-0.004043593407645668,1.0135347059786324,1.0135347059786324
FinPFN,42,2022-02-16 09:30:00,long,0.001093311203821181,0.925,0,0.0,0.001093311203821181,1.0146428148281403,1.0146428148281403
FinPFN,42,2022-02-17 09:30:00,long,-0.0037281655951255472,0.8974358974358975,0,0.0,-0.0037281655951255472,1.0108600583945566,1.0108600583945566
FinPFN,42,2022-02-18 09:30:00,long,0.007763830328538557,0.8717948717948707,0,0.0,0.007763830328538557,1.0187082043738285,1.0187082043738285
FinPFN,42,2022-02-21 09:30:00,long,-0.001913368717863726,0.9268292682926824,0,0.0,-0.001913368717863726,1.0167590399629485,1.0167590399629485
FinPFN,42,2022-02-22 09:30:00,long,-0.0015941630879367748,0.9512195121951217,0,0.0,-0.0015941630879367748,1.0151381602321135,1.0151381602321135
FinPFN,42,2022-02-23 09:30:00,long,0.00022451718251183998,0.9499999999999986,0,0.0,0.00022451718251183998,1.0153660761917092,1.0153660761917092
FinPFN,42,2022-02-24 09:30:00,long,-0.002114625241293055,0.7749999999999994,0,0.0,-0.002114625241293055,1.0132189574578414,1.0132189574578414
FinPFN,42,2022-02-25 09:30:00,long,0.001015785530107748,0.9230769230769218,0,0.0,0.001015785530107748,1.0142481706136581,1.0142481706136581
FinPFN,42,2022-02-28 09:30:00,long,0.0023134862490265633,0.9487179487179473,0,0.0,0.0023134862490265633,1.0165946198094733,1.0165946198094733
FinPFN,42,2022-03-01 09:30:00,long,-0.000665128762559223,0.9999999999999986,0,0.0,-0.000665128762559223,1.015918453487975,1.015918453487975
FinPFN,42,2022-03-02 09:30:00,long,0.003590477116385719,0.8499999999999991,0,0.0,0.003590477116385719,1.0195660854473376,1.0195660854473376
FinPFN,42,2022-03-03 09:30:00,long,0.001677816386534172,0.8999999999999989,0,0.0,0.001677816386534172,1.0212767301326555,1.0212767301326555
FinPFN,42,2022-03-04 09:30:00,long,0.001478392014284108,0.8999999999999988,0,0.0,0.001478392014284108,1.0227865774948577,1.0227865774948577
