model,seed,portfolio,cost_rate_bps_per_one_way_turnover,n_periods,average_turnover_one_way_including_initial,gross_mean_return_decimal,gross_annualized_volatility_decimal,gross_sharpe,gross_cumulative_arithmetic_return_decimal,gross_terminal_compounded_wealth,gross_maximum_drawdown,net_mean_return_decimal,net_annualized_volatility_decimal,net_sharpe,net_cumulative_arithmetic_return_decimal,net_terminal_compounded_wealth,net_maximum_drawdown,net_sharpe_rank
FinPFN,42,long,0,301,0.9181505358923157,0.0004643465715162818,0.047095252263277036,2.366335709190085,0.13976831802640083,1.1483793964322342,-0.02982832316369155,0.0004643465715162818,0.047095252263277036,2.366335709190085,0.13976831802640083,1.1483793964322342,-0.02982832316369155,2
FinPFN,42,long_short,0,301,1.7829807915323694,0.0014792448418651423,0.08098870539504897,4.383558921159607,0.4452526974014078,1.554008422815,-0.0339313568636177,0.0014792448418651423,0.08098870539504897,4.383558921159607,0.4452526974014078,1.554008422815,-0.0339313568636177,3
FinPFN,42,short,0,301,0.8648302556400537,0.0010148982703488602,0.06531279397706964,3.7293701593786097,0.30548437937500694,1.353467155541227,-0.033520521425092986,0.0010148982703488602,0.06531279397706964,3.7293701593786097,0.30548437937500694,1.353467155541227,-0.033520521425092986,3
LightGBM,42,long,0,301,0.7649698500769382,0.0006563634882545558,0.0611848525254515,2.5746117001028264,0.1975654099646213,1.2155109081783237,-0.01984762791942174,0.0006563634882545558,0.0611848525254515,2.5746117001028264,0.1975654099646213,1.2155109081783237,-0.01984762791942174,1
LightGBM,42,long_short,0,301,1.5516270498384996,0.0018092565532312518,0.09026800648095357,4.81035961359267,0.5445862225226068,1.7143221426412323,-0.039839235738240886,0.0018092565532312518,0.09026800648095357,4.81035961359267,0.5445862225226068,1.7143221426412323,-0.039839235738240886,2
LightGBM,42,short,0,301,0.7866571997615615,0.0011528930649766958,0.0655621620559956,4.220335738136378,0.34702081255798545,1.410775556714618,-0.029524740785727643,0.0011528930649766958,0.0655621620559956,4.220335738136378,0.34702081255798545,1.410775556714618,-0.029524740785727643,2
Ridge,42,long,0,301,0.729183252225294,0.0005544671857651703,0.062041638360537575,2.144884114928261,0.16689462291531626,1.1787379344847986,-0.03372264486296972,0.0005544671857651703,0.062041638360537575,2.144884114928261,0.16689462291531626,1.1787379344847986,-0.03372264486296972,3
Ridge,42,long_short,0,301,1.4788131854046738,0.0018756315563346615,0.09207526414530302,4.888952290269178,0.5645650984567331,1.7484930986489537,-0.05030716084696407,0.0018756315563346615,0.09207526414530302,4.888952290269178,0.5645650984567331,1.7484930986489537,-0.05030716084696407,1
Ridge,42,short,0,301,0.7496299331793796,0.001321164370569491,0.0660511769099694,4.800511720917113,0.39767047554141677,1.4839224561789486,-0.026197844270593018,0.001321164370569491,0.0660511769099694,4.800511720917113,0.39767047554141677,1.4839224561789486,-0.026197844270593018,1
TabPFN,42,long,0,301,0.9108361188323566,-0.001218170662615934,0.06501854119054531,-4.496578263283735,-0.36666936944739614,0.6910517280625416,-0.32148085597408604,-0.001218170662615934,0.06501854119054531,-4.496578263283735,-0.36666936944739614,0.6910517280625416,-0.32148085597408604,4
