model,region,n_dates,mean_assets,mean_rank_ic,rank_ic_std_ddof1,mean_raw_return_decimal,mean_absolute_rank_error,rank_ic_ir
FinPFN,bottom_20pct,143,100.0,0.07985273585202285,0.11168319030678954,0.003503478320279624,0.387244055944056,0.7149933273993192
FinPFN,bottom_decile,143,50.0,0.08206146021778706,0.15976947235951355,-0.002141329222377751,0.4031793006993007,0.513624154889441
FinPFN,full_universe,143,500.0,0.06653733532163304,0.11274238586771246,0.009634808791048914,0.3146105734265734,0.5901714320619875
FinPFN,middle_20_to_80pct,143,300.0,0.04001877491150915,0.08920127770022189,0.010814059859207437,0.26494773892773893,0.4486345481059136
FinPFN,top_20pct,143,100.0,-0.01342141701791616,0.12474079236066428,0.01222838605734263,0.3909655944055944,-0.10759445057163566
FinPFN,top_decile,143,50.0,-0.027381154067683246,0.16091923986100376,0.012510669384615343,0.43774853146853143,-0.17015463217036136
LightGBM,bottom_20pct,143,100.0,0.08186768258004032,0.15515826146539327,0.0006774240909090251,0.3870746853146853,0.5276398549896114
LightGBM,bottom_decile,143,50.0,0.1015957355638354,0.1586298302339696,-0.004322930872727372,0.41059552447552444,0.6404579480037753
LightGBM,full_universe,143,500.0,0.04323379247009084,0.07632907587999306,0.009634808791048914,0.3181549090909091,0.5664131521527177
LightGBM,middle_20_to_80pct,143,300.0,0.02072936850296165,0.07601717982427897,0.010860141120279698,0.2653634032634033,0.2726932063367726
LightGBM,top_20pct,143,100.0,-0.014526389656870455,0.12810060581731378,0.014916196503496447,0.40760965034965035,-0.11339829007199825
LightGBM,top_decile,143,50.0,-0.02067898829111051,0.1629692274889515,0.017141685110489434,0.44933986013986016,-0.1268889139976591
Ridge,bottom_20pct,143,100.0,0.02964127982583174,0.10813356642742075,0.0008287254895104428,0.39225300699300697,0.27411728665887447
Ridge,bottom_decile,143,50.0,0.03113600133008762,0.14654887885428453,-0.0015772583272727779,0.4232072727272727,0.2124615457553009
Ridge,full_universe,143,500.0,0.043944317490418064,0.08139085266383699,0.009634808791048914,0.3199393006993007,0.5399171534904327
Ridge,middle_20_to_80pct,143,300.0,0.011228398739833795,0.07327025592113978,0.010256616901631668,0.2699142191142191,0.15324634258025296
Ridge,top_20pct,143,100.0,-0.0007174695113161139,0.10621478039340207,0.01657546776083912,0.39770083916083915,-0.006754893327074865
Ridge,top_decile,143,50.0,0.0031262643409431233,0.1337960764492973,0.01700927320559436,0.4387910489510489,0.023365889523134384
TabPFN,bottom_20pct,143,100.0,0.0331379977132168,0.12969273574754198,0.007153878041957967,0.40353524475524477,0.2555115945562499
TabPFN,bottom_decile,143,50.0,0.024732273720699735,0.16043578956412416,0.005969916738461431,0.4352318881118881,0.15415683612673317
TabPFN,full_universe,143,500.0,0.002113127278261442,0.112116871040697,0.009634808791048914,0.32453924475524476,0.018847540594442772
TabPFN,middle_20_to_80pct,143,300.0,0.0035589820793052855,0.09509725165030403,0.011457058868997646,0.2649951981351982,0.03742465757467458
TabPFN,top_20pct,143,100.0,-0.03874328690843554,0.11557966771912458,0.006648989306293664,0.4241753846153846,-0.335208498804369
TabPFN,top_decile,143,50.0,-0.025167463138245954,0.18006268919813306,0.00584680538181812,0.4746696503496503,-0.13977056129908613
