model,date,n_assets,ic,bottom_decile_return_decimal,top_decile_return_decimal,long_short_return_decimal,mean_ic_contribution,long_short_arithmetic_contribution_decimal,long_short_share_of_total,leave_one_date_out_mean_ic,leave_one_date_out_long_short_sharpe
FinPFN,2010-02-28,500,0.0038134235282606165,0.054808764399999904,0.04738433999999999,-0.007424424399999914,2.6667297400423892e-05,-0.007424424399999914,-0.0035434791621855102,0.06697905301031877,1.0480375055689042
FinPFN,2010-03-31,500,0.011441518040668598,0.057753759999999994,0.057587824399999904,-0.00016593560000009028,8.001061566901118e-05,-0.00016593560000009028,-7.919662308974102e-05,0.06692533403487928,1.0440029205186463
FinPFN,2010-04-30,500,-0.101203388866442,0.15922332639999937,0.030242659999999998,-0.12898066639999936,-0.000707716006059035,-0.12898066639999936,-0.06155902182978708,0.06771860802718287,1.1434942890683424
FinPFN,2010-05-31,500,0.1927457974867874,-0.10598159560000012,-0.0631499,0.04283169560000012,0.0013478727096978141,0.04283169560000012,0.020442422558666636,0.06564854333455448,1.0234562334366855
FinPFN,2010-06-30,500,0.17105522486065647,-0.08338686000000001,-0.046968119999999995,0.03641874000000001,0.0011961903836409543,0.03641874000000001,0.017381690397851375,0.06580129384600611,1.0261638083274283
FinPFN,2010-07-31,500,0.09651303763371576,0.01913128,0.0696342043999999,0.0505029243999999,0.0006749163470889214,0.0505029243999999,0.02410369485893504,0.06632623882647752,1.0203790175075043
FinPFN,2010-08-31,500,0.23109114409551537,-0.08361396000000001,-0.026989920000000004,0.056624040000000014,0.0016160219866819257,0.056624040000000014,0.02702513959449317,0.06537850568238035,1.0180493554290748
FinPFN,2010-09-30,500,-0.013578066369593769,0.10584726879999978,0.10024320439999988,-0.0056040643999999,-9.49515130740823e-05,-0.0056040643999999,-0.00267467002895814,0.06710152829128957,1.0470099036031077
FinPFN,2010-10-31,500,-0.0999172068628666,0.041966824399999894,0.0209181,-0.021048724399999896,-0.0006987217263137525,-0.021048724399999896,-0.010045993101092955,0.06770955040743937,1.0560683356276186
FinPFN,2010-11-30,500,-0.10868988848715264,0.05330039759999958,0.025923028799999793,-0.027377368799999784,-0.0007600691502598087,-0.027377368799999784,-0.013066485781479314,0.06777132985549773,1.0600059230122565
FinPFN,2010-12-31,500,-0.11505441002417012,0.10978212439999992,0.10438322439999989,-0.005398900000000026,-0.0008045762938753156,-0.005398900000000026,-0.002576750549001976,0.06781615042970207,1.0468947513784128
FinPFN,2011-01-31,500,0.028708003521006175,0.008803919999999995,0.0069184,-0.0018855199999999947,0.00020075526937766557,-0.0018855199999999947,-0.0008999082581922555,0.06680373906670788,1.0449436065609943
FinPFN,2011-02-28,500,-0.026484396480088105,0.0665580643999999,0.02536152,-0.041196544399999896,-0.0001852055697908259,-0.041196544399999896,-0.01966200863132925,0.06719241793995502,1.0690731671246387
FinPFN,2011-03-31,500,0.11390148507321171,-0.033347140000000004,-0.008452575600000102,0.024894564399999902,0.0007965138816308511,0.024894564399999902,0.011881509656571613,0.0662037849712698,1.0313407628553803
FinPFN,2011-04-30,500,0.09282825668029664,0.05225352439999988,0.01395374,-0.038299784399999884,0.0006491486481139625,-0.038299784399999884,-0.018279462571886222,0.06635218798812133,1.0671184021266247
FinPFN,2011-05-31,500,0.15808063149826734,-0.0406495556000001,-0.0016542199999999996,0.038995335600000104,0.001105458961526345,0.038995335600000104,0.01861143055359723,0.0658926642217976,1.0250611321423753
FinPFN,2011-06-30,500,0.10134857512376418,-0.05329852000000001,-0.017283555600000108,0.036014964399999905,0.0007087312945717774,0.036014964399999905,0.017188979105000262,0.0662921857455617,1.0263384161399274
FinPFN,2011-07-31,500,0.04723593521106579,-0.03809534,-0.019107219999999998,0.01898812,0.00033032122525220834,0.01898812,0.009062521742302166,0.06667326067452435,1.034150467641676
FinPFN,2011-08-31,500,0.22943707130688912,-0.131713,-0.03592798,0.09578502,0.0016044550441041197,0.09578502,0.045715627789209665,0.06539015408230026,1.005775296264272
FinPFN,2011-09-30,500,0.30894204322216695,-0.15923528,-0.0388792356000001,0.1203560443999999,0.0021604338686864824,0.1203560443999999,0.05744272045850163,0.0648302599138828,1.0004132426085608
FinPFN,2011-10-31,500,0.173864329476633,0.03917850879999978,0.16680929319999968,0.1276307843999999,0.0012158344718645664,0.1276307843999999,0.0609147592606366,0.06578151141913305,0.9991787252206581
FinPFN,2011-11-30,500,0.07751615638928182,-0.02875913560000011,0.008854468799999788,0.037613604399999896,0.0005420710237012715,0.037613604399999896,0.017951967213254996,0.06646001968031158,1.025649975765564
FinPFN,2011-12-31,500,0.15228706307759096,-0.03531468,-0.02499184,0.01032284,0.0010649444970460907,0.01032284,0.0049268153952211425,0.06593346399940798,1.038466431380921
FinPFN,2012-01-31,500,-0.024559551205651283,0.10645518000000001,0.11197989319999965,0.005524713199999642,-0.00017174511332623276,0.005524713199999642,0.0026367978238488344,0.0671788626915435,1.0409563718032675
FinPFN,2012-02-29,500,0.004682034952877495,0.021076660000000004,0.03693444,0.015857779999999995,3.274150316697549e-05,0.015857779999999995,0.007568494197142444,0.06697293602845526,1.0356829000413041
FinPFN,2012-03-31,500,0.0491417337463366,-0.031147019999999994,0.0002403999999999995,0.03138741999999999,0.00034364848773661954,0.03138741999999999,0.0149803759500556,0.06665983955807879,1.0283746133199212
