model,seed,uncertainty_signal,requested_coverage,realized_coverage,n_asset_dates,n_dates,mean_ic,ic_std_ddof1,ir,gross_long_short_mean_return_decimal,gross_long_short_sharpe,average_total_one_way_turnover_including_initial,fixed_cost_bps,net_long_short_mean_return_decimal,net_long_short_sharpe,mean_long_positions,mean_short_positions
FinPFN,42,total_member_sd,1.0,1.0,96859,242,0.05081094255663611,0.0663076947168623,0.7662902891376601,0.002441550422136125,5.801411323723645,1.789543697734559,10,0.0006520067244015659,1.550739963678504,39.570247933884296,40.45867768595041
FinPFN,42,total_member_sd,0.8,0.7989345337036311,77384,242,0.05276510992055711,0.06938333043792828,0.7604868429854608,0.002511868431286692,5.897928980370739,1.848107055587315,10,0.0006637613756993762,1.5579707252820283,31.53305785123967,32.40495867768595
FinPFN,42,total_member_sd,0.6,0.5990563602762778,58024,242,0.053182177070814234,0.07640388211233849,0.6960664249052055,0.002757014968961483,6.096702082161273,1.8798550724637688,10,0.0008771598964977137,1.940014923968303,23.541322314049587,24.40909090909091
FinPFN,42,total_member_sd,0.4,0.3988684582743989,38634,242,0.05405145492354315,0.09165353923290322,0.5897366907587887,0.002675530464299458,5.171776085187754,1.9197982498784638,10,0.0007557322144209947,1.4601581597656141,15.52892561983471,16.367768595041323
FinPFN,42,total_member_sd,0.2,0.1989902848470457,19274,242,0.05572609894776919,0.12910812598742247,0.4316234824227714,0.0030438724698289327,4.245194820897124,1.9639167650531288,10,0.001079955704775804,1.5065776461556033,7.537190082644628,8.289256198347108
FinPFN,42,within_group_ensemble_sd,1.0,1.0,96859,242,0.05081094255663611,0.0663076947168623,0.7662902891376601,0.002441550422136125,5.801411323723645,1.789543697734559,10,0.0006520067244015659,1.550739963678504,39.570247933884296,40.45867768595041
FinPFN,42,within_group_ensemble_sd,0.8,0.7989345337036311,77384,242,0.05114010531473199,0.06963225741422797,0.7344312422690826,0.0024255481096129715,5.732374080594015,1.8446029246627513,10,0.0005809451849502201,1.373052077214552,31.53305785123967,32.40495867768595
FinPFN,42,within_group_ensemble_sd,0.6,0.5990563602762778,58024,242,0.054125060661843326,0.07844910503062828,0.689938535827932,0.0025655743206692305,5.35221441463215,1.8758597759289466,10,0.0006897145447402843,1.4381088865923715,23.541322314049587,24.40909090909091
FinPFN,42,within_group_ensemble_sd,0.4,0.3988684582743989,38634,242,0.05251042859079215,0.09202728872090513,0.5705962798713178,0.0027269781295102117,5.224413405459551,1.9233552098525362,10,0.0008036229196576759,1.539165744035752,15.52892561983471,16.367768595041323
FinPFN,42,within_group_ensemble_sd,0.2,0.1989902848470457,19274,242,0.060897939081932244,0.12837650739548556,0.4743698073536604,0.00283961927263572,3.7173556911734873,1.9588908566181293,10,0.0008807284160175904,1.1530025435394478,7.537190082644628,8.289256198347108
FinPFN,42,ensemble_mad,1.0,1.0,96859,242,0.05081094255663611,0.0663076947168623,0.7662902891376601,0.002441550422136125,5.801411323723645,1.789543697734559,10,0.0006520067244015659,1.550739963678504,39.570247933884296,40.45867768595041
