model,date,n_assets,ic,bottom_decile_return_decimal,top_decile_return_decimal,long_short_return_decimal,mean_ic_contribution,long_short_arithmetic_contribution_decimal,long_short_share_of_total,leave_one_date_out_mean_ic,leave_one_date_out_long_short_sharpe
FinPFN,2022-01-05 09:30:00,394,-0.029386964300492344,-0.0015163990549220637,0.00397204246128244,0.005488441516204503,-9.763111063286493e-05,0.005488441516204503,0.01232657667934692,0.045846798971333036,4.34098184860939
FinPFN,2022-01-06 09:30:00,392,0.16780555617342857,-0.0013726311462132382,0.005511277963217498,0.006883909109430736,0.0005574935421044138,0.006883909109430736,0.015460679181971805,0.0451894905697533,4.3306962159665146
FinPFN,2022-01-07 09:30:00,403,0.06888902110163275,-0.0030334959414620353,0.003722079157586387,0.006755575099048422,0.0002288671797396437,0.006755575099048422,0.015172451820001178,0.04551921235332595,4.331599460769551
FinPFN,2022-01-10 09:30:00,393,0.06321371275475887,-0.0030642434456740085,0.0028582139837960855,0.005922457429470094,0.00021001233473341818,0.005922457429470094,0.013301339810033388,0.045538130047815525,4.337673280252895
FinPFN,2022-01-11 09:30:00,401,0.03647804512472541,0.002213024808904771,-0.0013914741007263172,-0.003604498909631088,0.00012118951868679539,-0.003604498909631088,-0.008095400501036229,0.04562724893991564,4.4333961758792935
FinPFN,2022-01-12 09:30:00,403,0.07763401447957541,-0.0029326727183216104,-0.004362708028235785,-0.0014300353099141747,0.00025792031388563257,-0.0014300353099141747,-0.0032117386784182873,0.04549006237539948,4.407219586510884
FinPFN,2022-01-13 09:30:00,405,0.10118980792240093,-0.0012718062671162403,-8.001168360936007e-05,0.0011917945835068801,0.0003361787638617971,0.0011917945835068801,0.0026766701032075817,0.04541154306392339,4.379103705214218
FinPFN,2022-01-14 09:30:00,406,0.0286772369189948,0.0026166184964916033,0.0006368298127047129,-0.0019797886837868905,9.527321235546445e-05,-0.0019797886837868905,-0.004446438382836019,0.045653251633934744,4.413590294593919
FinPFN,2022-01-17 09:30:00,401,-0.07347611560208764,0.0040654326186035,-0.0020365014167313786,-0.006101934035334879,-0.00024410669635245062,-0.006101934035334879,-0.013704429127430565,0.045993762809005016,4.466743975830793
FinPFN,2022-01-18 09:30:00,407,0.03826335093204266,0.0020150434020929247,0.0027024647035426203,0.0006874213014496956,0.00012712076721608858,0.0006874213014496956,0.0015438902570644422,0.04562129792055791,4.384223609815252
FinPFN,2022-01-19 09:30:00,407,0.10414120728841793,-0.004770036314189511,0.002056123419167344,0.006826159733356855,0.00034598407737015924,0.006826159733356855,0.015330978954638162,0.04540170506603667,4.331101600597979
FinPFN,2022-01-20 09:30:00,411,0.003960432662590068,-0.004074098456043528,0.003933619626501691,0.00800771808254522,1.3157583596644744e-05,0.00800771808254522,0.017984659339022574,0.0457356409814561,4.3231555215589745
FinPFN,2022-01-21 09:30:00,401,-0.06336874492328162,0.004825092957713903,-0.0014874285213640676,-0.0063125214790779715,-0.00021052739177169973,-0.0063125214790779715,-0.014177390762412513,0.045960071573409,4.469719746751862
FinPFN,2022-01-24 09:30:00,411,0.012503845821468856,0.004033921804074457,0.0032506321145979976,-0.0007832896894764598,4.1541016018168956e-05,-0.0007832896894764598,-0.0017592025697944337,0.045707162937593165,4.399937103463131
FinPFN,2022-01-25 09:30:00,397,-0.06448392777955651,0.006557147772221569,-0.0017314555143660099,-0.008288603286587579,-0.00021423231820450668,-0.008288603286587579,-0.018615503813815576,0.045963788849596586,4.498913140491385
FinPFN,2022-01-26 09:30:00,400,0.07014203702504032,-0.00022699195954710218,0.004373681228456314,0.004600673188003416,0.00023303002333900438,0.004600673188003416,0.010332723900054852,0.04551503563358126,4.348058014205612
FinPFN,2022-01-27 09:30:00,402,-0.022270158401676173,0.0029505504499618513,-0.002006995970398736,-0.004957546420360587,-7.3987237214871e-05,-0.004957546420360587,-0.011134231076631121,0.04582307628500365,4.451021070025742
FinPFN,2022-01-28 09:30:00,402,0.14737461068689633,-0.014200303284620245,0.005297829558158713,0.01949813284277896,0.00048961664680032,0.01949813284277896,0.043791161640511854,0.045257593721375076,4.284534259926054
FinPFN,2022-02-07 09:30:00,411,0.07058726735590846,0.00441969300706228,0.0032739763717727355,-0.0011457166352895447,0.00023450919387345005,-0.0011457166352895447,-0.0025731829183207604,0.045513551532478366,4.403989921334518
FinPFN,2022-02-08 09:30:00,399,-0.0739475012951376,0.0026957990388855398,-0.003994004671080692,-0.006689803709966231,-0.0002456727617778658,-0.006689803709966231,-0.015024734828131062,0.04599533409464852,4.475115696028076
FinPFN,2022-02-09 09:30:00,416,0.014814078300062424,0.00038002476562491424,-0.0022339300800780374,-0.0026139548457029516,4.9216206976951573e-05,-0.0026139548457029516,-0.005870722088734251,0.04569946216266452,4.421146358275148
FinPFN,2022-02-10 09:30:00,405,-0.005842510709826881,0.0029177053205392493,-0.0010308578371960413,-0.0039485631577352905,-1.941033458414246e-05,-0.0039485631577352905,-0.00886813977945551,0.045768317459364154,4.4377797876845095
FinPFN,2022-02-11 09:30:00,416,-0.0962801351323212,0.0009536911247043102,-0.0030717069208343823,-0.004025398045538692,-0.0003198675585791402,-0.004025398045538692,-0.009040704456215081,0.04606977620743913,4.438767828012974
FinPFN,2022-02-14 09:30:00,412,0.05291761105722384,-0.00131425785622255,-0.0005510480680432424,0.0007632097881793076,0.00017580601680140811,0.0007632097881793076,0.0017141048052792653,0.045572450386807316,4.383445544632057
FinPFN,2022-02-15 09:30:00,406,-0.019417451355846115,-0.005229518046346158,-0.004043593407645668,0.0011859246387004897,-6.450980516892397e-05,0.0011859246387004897,0.0026634867023193924,0.04581356726151754,4.379162505098475
FinPFN,2022-02-16 09:30:00,389,0.2018179465433254,-0.010440635555448814,0.0010933112038211813,0.011533946759269996,0.0006704915167552339,0.011533946759269996,0.02590427149927364,0.045076115935186976,4.3037982325725785
