model,prediction_percentile_bin,n_asset_dates,mean_prediction_rank,mean_prediction,mean_raw_return_decimal,median_raw_return_decimal,mean_realized_rank,mean_absolute_rank_error,mean_signed_prediction_return_decimal
FinPFN,1,6182,0.025630782115607504,-0.25655417634817207,-0.0011553466691907905,-0.004005190533279078,0.46281445091248946,0.43991173167329467,0.0011553466691907905
FinPFN,2,6020,0.07620621364808741,-0.20123355017349964,-0.0008764195601398331,-0.0028011134351342577,0.477497678669855,0.4113488485925278,0.0008764195601398331
FinPFN,3,6032,0.12616488594227632,-0.1834207413871266,-0.0009684094388375069,-0.002289250141209554,0.4795832566044702,0.3746744547493974,0.0009684094388375069
FinPFN,4,6012,0.17609039613088698,-0.17127575894231528,-0.0003018724438351985,-0.0014828122254828338,0.49218699029194896,0.35086139916853576,0.0003018724438351985
FinPFN,5,6028,0.2259989162644004,-0.16175054048831367,-0.0002905039170753372,-0.0015484038643338552,0.4940628692053236,0.32169664756325567,0.0002905039170753372
FinPFN,6,6048,0.27605720969308656,-0.15354256383783957,-0.0005348739641983104,-0.001731036567857066,0.4937590712768706,0.29222403721731527,0.0005348739641983104
FinPFN,7,6038,0.32615648839670125,-0.14635366157842378,-0.0005356229135867079,-0.0015389798525436104,0.4948146265830721,0.277125274799051,0.0005356229135867079
FinPFN,8,6004,0.3760735123446247,-0.13985775593918892,-6.723770360537074e-05,-0.001485603166848736,0.49888608437286364,0.25847447799254725,6.723770360537074e-05
FinPFN,9,6058,0.42607331002416415,-0.1334149270189619,2.439850446561146e-05,-0.001307048315503924,0.5022993075072595,0.25092924006648964,6.004874544482208e-05
FinPFN,10,5970,0.4759317304876795,-0.1273794552963383,-0.0002127860596893609,-0.0010923311674355984,0.5029762684527842,0.24212228621826012,2.6906528281556944e-05
FinPFN,11,6095,0.525946113483392,-0.12124168638375277,-0.0007314417298515768,-0.0016968966414287966,0.4919216154363313,0.2421425613314663,-0.000604517278347191
FinPFN,12,6004,0.5760988724264764,-0.11515386950045943,-0.00038564764583031113,-0.0011386310614631848,0.49922025003743487,0.2466997243725442,-0.00038538998182210764
FinPFN,13,6058,0.6260985665295631,-0.10894401377751395,0.00045982829183294915,-0.0006164407147945437,0.5136425948563185,0.2517058792543738,0.00045982829183294915
FinPFN,14,6022,0.6761730186566217,-0.10240507203428621,0.0003103537569586031,-0.0008134825183119582,0.5088953155361474,0.2681368235844004,0.0003103537569586031
FinPFN,15,6006,0.7260316336198475,-0.09563466803646171,0.0005708977646241086,-0.0005390610979741019,0.5163295089498315,0.28259529978276055,0.0005708977646241086
FinPFN,16,6032,0.7759327692941876,-0.08800508609641867,0.0003904274780654463,-0.0005974842962329123,0.5134273665685635,0.3098778062243297,0.0003904274780654463
FinPFN,17,6066,0.8260821763189049,-0.07891082720897977,0.00030925661948457203,-0.0005729476663053786,0.5151015372646247,0.3377471460104031,0.00030925661948457203
FinPFN,18,6016,0.8761645273496206,-0.06778578659740309,0.000378906129496603,-0.0005956944074785339,0.5139359600720397,0.37549810177835413,0.000378906129496603
FinPFN,19,6036,0.9261235055971597,-0.052492162423033076,0.000320815939851125,-0.0008238014255809948,0.5120734699703161,0.4186308507484797,0.000320815939851125
FinPFN,20,5893,0.9755670024957724,-0.01995796603816355,0.000609263149342557,-0.0005608859083916368,0.5179230321962305,0.458198504453427,0.000609263149342557
LightGBM,1,6182,0.025630782115607504,-0.42905825706763284,-0.0013441141551124396,-0.004073786548311831,0.46042945376114186,0.43730922475849676,0.0013441141551124396
LightGBM,2,6020,0.07620621364808741,-0.20543062228192785,-0.000949135408242645,-0.0028264294741853382,0.47458607569757266,0.40809826998159066,0.000949135408242645
LightGBM,3,6032,0.12616488594227632,-0.1449631430358003,-0.0008698391151992112,-0.0021318274816247602,0.482798083865981,0.37500702648176737,0.0008698391151992112
LightGBM,4,6012,0.17609039613088698,-0.11290165589262727,-0.0002566028711018204,-0.001645913550183135,0.492771915956588,0.34554559452571326,0.0002566028711018204
LightGBM,5,6028,0.2259989162644004,-0.09142595416066382,-0.00042232960341323083,-0.0014756016884350555,0.49450092897716474,0.3125238699510554,0.00042232960341323083
LightGBM,6,6048,0.27605720969308656,-0.07501176175596944,-0.0002081941211547014,-0.001508811812107853,0.49858795125942695,0.2883026091648795,0.0002081941211547014
LightGBM,7,6038,0.32615648839670125,-0.06075471690000459,-4.7143528142247654e-05,-0.0010999308303035903,0.5036352413115922,0.26424622613083604,4.7143528142247654e-05
LightGBM,8,6004,0.3760735123446247,-0.04760093132824284,-0.000448321522905601,-0.001139470716173202,0.5003040952184963,0.24133385818234313,0.0004297040553100571
LightGBM,9,6058,0.42607331002416415,-0.03530320696625168,-7.82569571401875e-05,-0.0010883662526235264,0.5058326616730957,0.23451282425324035,9.782187201517526e-05
LightGBM,10,5970,0.4759317304876795,-0.02289588582392732,-0.0002164632404096441,-0.001051936867351107,0.5039716665150638,0.23104969685657667,-4.630229925486605e-05
LightGBM,11,6095,0.525946113483392,-0.010504855939330801,-0.00026478561326211955,-0.0011201252506929105,0.5009944200573829,0.2310468329484405,0.00011804737351581248
LightGBM,12,6004,0.5760988724264764,0.0026429607333291385,-0.00011021033416064692,-0.0007880424520358442,0.5073052067058502,0.23590666640668245,-0.00011898754528047642
LightGBM,13,6058,0.6260985665295631,0.016642256310477752,0.0002412097300519207,-0.0006579731557303068,0.5127449637163832,0.24660520721780893,0.00023613435985717792
LightGBM,14,6022,0.6761730186566217,0.031739811612370765,0.0004163764261533334,-0.000703710369814617,0.514404903725708,0.26003340706489886,0.0004163764261533334
LightGBM,15,6006,0.7260316336198475,0.04835608057284642,4.354510460773781e-05,-0.0008591582970315974,0.5080013751724017,0.287544848315528,4.354510460773781e-05
LightGBM,16,6032,0.7759327692941876,0.06832943196324136,0.00019571700258725475,-0.0008769543010490407,0.5104426465175412,0.31445676563999153,0.00019571700258725475
LightGBM,17,6066,0.8260821763189049,0.0935157374274298,4.064349693797411e-05,-0.0012295238722527442,0.5046542330689919,0.3517277635734653,4.064349693797411e-05
LightGBM,18,6016,0.8761645273496206,0.1273119169031873,0.0002871731371931434,-0.0007168635209339564,0.5103299999538766,0.38339383048310943,0.0002871731371931434
LightGBM,19,6036,0.9261235055971597,0.1839438090160496,0.0006258349623104656,-0.0004948357940787996,0.5109941499317574,0.4225377527073431,0.0006258349623104656
LightGBM,20,5893,0.9755670024957724,0.3673596110027649,0.0006786958279141148,-0.0009506819673147284,0.5037401157097183,0.47318593331100245,0.0006786958279141148
Ridge,1,6182,0.025630782115607504,-0.21413002188481084,-0.0014340840849178802,-0.004327157265278631,0.45688016332955983,0.4334730873217367,0.0014340840849178802
Ridge,2,6020,0.07620621364808741,-0.13585774216838056,-0.0012088608391403835,-0.0024685613191646927,0.47604472214442045,0.40828611910923085,0.0012088608391403835
Ridge,3,6032,0.12616488594227632,-0.10937346537184929,-0.0004395190449407774,-0.0017428147440553604,0.4893713018455894,0.380180348651397,0.0004395190449407774
Ridge,4,6012,0.17609039613088698,-0.09225093822304162,-0.0004909126009625674,-0.0016332807959069109,0.4889672884687285,0.34273916460987364,0.0004909126009625674
Ridge,5,6028,0.2259989162644004,-0.07858482226927152,-0.00041105275094536245,-0.0013898440395851577,0.49496360851021953,0.31590137231493665,0.00041105275094536245
Ridge,6,6048,0.27605720969308656,-0.06734980243226149,-0.00027375424319728617,-0.0013464081456071085,0.4987344312182071,0.28863416957108845,0.00027375424319728617
Ridge,7,6038,0.32615648839670125,-0.0571319299141385,-0.00020015131264444966,-0.001082770890009438,0.5026272864880357,0.26745717917642436,0.00020015131264444966
Ridge,8,6004,0.3760735123446247,-0.04789312543170024,-0.0003329399605900453,-0.001144258775892775,0.5016028914858307,0.24862400803795734,0.0003329399605900453
Ridge,9,6058,0.42607331002416415,-0.0388202319639932,-4.810546620129149e-05,-0.0010773095944306558,0.5037252699589124,0.23901225441556173,5.581145997283043e-05
Ridge,10,5970,0.4759317304876795,-0.030039053862536923,-0.00037014394553627007,-0.001023326955372666,0.5022037140174216,0.23130227497670175,0.0003597869947124699
Ridge,11,6095,0.525946113483392,-0.021410778049957176,-0.00015978957528400847,-0.0009203335738626342,0.504108369023455,0.2312519814050666,5.014329921962069e-05
Ridge,12,6004,0.5760988724264764,-0.01216977175128467,6.29587204694125e-05,-0.0010005350217880474,0.5078726838536328,0.23841773924478069,9.107927104863015e-05
Ridge,13,6058,0.6260985665295631,-0.002694893234952689,1.8844868323283937e-05,-0.000794238590924447,0.5075692015282379,0.25062769953505837,2.3722883173434075e-05
Ridge,14,6022,0.6761730186566217,0.007539667748811781,0.00028714004481019057,-0.000907437852457392,0.5107297824103315,0.2672222517361013,0.00028714004481019057
Ridge,15,6006,0.7260316336198475,0.018980057781690603,0.0002585262971707529,-0.0009491968531528644,0.5114810455098959,0.28715758023037585,0.0002585262971707529
Ridge,16,6032,0.7759327692941876,0.0322963664161822,-1.0452378166257053e-05,-0.001166241709974376,0.5040589856184682,0.3189584860413523,-1.0452378166257053e-05
Ridge,17,6066,0.8260821763189049,0.04848732449515961,0.0005937278228776572,-0.0008192387419305677,0.5141578628350818,0.34573851920280047,0.0005937278228776572
Ridge,18,6016,0.8761645273496206,0.06944178038603685,0.00035720114042286347,-0.000672524023332072,0.5114037708652189,0.3821773342730156,0.00035720114042286347
Ridge,19,6036,0.9261235055971597,0.10014139012864996,0.00045238204918096847,-0.0008101440994386378,0.5079452662514098,0.4252069484306202,0.00045238204918096847
Ridge,20,5893,0.9755670024957724,0.17931609557542982,0.000661042338412824,-0.0008325795610018335,0.5066792093560146,0.47015479859294634,0.000661042338412824
TabPFN,1,6182,0.025630782115607504,-0.7809216457782768,0.0009091589745189416,-0.0006874439870965966,0.5091069406327803,0.48484540753940314,-0.0009091589745189416
TabPFN,2,6020,0.07620621364808741,-0.4082241752590254,0.0005384412786615865,-0.0005190163015785557,0.5126390374418458,0.44279417294232426,-0.0005384412786615865
TabPFN,3,6032,0.12616488594227632,-0.30464304489051475,0.0006467827793026966,-0.000537275141506061,0.5160594854177727,0.4032727673162111,-0.0006467827793026966
TabPFN,4,6012,0.17609039613088698,-0.2447141009151777,0.00032529007340147896,-0.0007813525316851448,0.5116809019192192,0.36282777003720573,-0.00032529007340147896
TabPFN,5,6028,0.2259989162644004,-0.20029724416135752,0.00043852110632893983,-0.0004423514322188163,0.5152018109351927,0.3310802251476783,-0.00043852110632893983
TabPFN,6,6048,0.27605720969308656,-0.16430863920136024,0.00015278834645594765,-0.0010846606811185378,0.5064633551213351,0.2979678074248333,-0.00015278834645594765
TabPFN,7,6038,0.32615648839670125,-0.13390426302428038,5.545614441976769e-05,-0.0006957957307852287,0.5081346660938751,0.27559364669508174,-5.545614441976769e-05
TabPFN,8,6004,0.3760735123446247,-0.10612001001075107,-0.0003752053920108973,-0.001508562075819841,0.499779035344245,0.25187072643790887,0.0003752053920108973
TabPFN,9,6058,0.42607331002416415,-0.07985885918525362,-0.00036742001846047856,-0.0013021802121673763,0.4993568549865896,0.24064069887160353,0.0004203546748199462
TabPFN,10,5970,0.4759317304876795,-0.05465205759241848,0.0001355558983922492,-0.0008361018199003218,0.5074151260404419,0.23667476037582408,0.0002453268150047107
TabPFN,11,6095,0.525946113483392,-0.028945399549098014,-0.00022607024879402716,-0.0011646203761284685,0.5031458026555125,0.23917541332737885,-3.4844498388564265e-05
TabPFN,12,6004,0.5760988724264764,-0.0028939559817346954,-5.4748427286019445e-05,-0.0012856906895753457,0.5021885039289549,0.24407227412455484,-0.00023316898483518325
TabPFN,13,6058,0.6260985665295631,0.024037756641708548,-2.5207603214325906e-05,-0.0011191533286990624,0.5021737223088244,0.25633282635964166,5.285392438989276e-05
TabPFN,14,6022,0.6761730186566217,0.053189484797467976,-0.00046384394688983767,-0.0014992229619213574,0.49623234897412805,0.27508801575157904,-0.0004539567245145711
TabPFN,15,6006,0.7260316336198475,0.08536392710735845,-0.0004109367140721564,-0.0015363524302026486,0.4939188116569252,0.29965240466782866,-0.0004109367140721564
TabPFN,16,6032,0.7759327692941876,0.12352621139095345,-0.0007620244403561867,-0.0016561759164659064,0.488640692934552,0.3320030152142348,-0.0007620244403561867
TabPFN,17,6066,0.8260821763189049,0.17293654136006414,-0.0005018716440604909,-0.0016816019566319703,0.4915205398992745,0.363742666222037,-0.0005018716440604909
TabPFN,18,6016,0.8761645273496206,0.24174137566823195,-0.00036359576446613826,-0.001415214480974336,0.494353203100394,0.39801147290097033,-0.00036359576446613826
TabPFN,19,6036,0.9261235055971597,0.3631044960413511,-0.0010234232729851415,-0.0024687007623409953,0.4771885230246525,0.4564395073457667,-0.0010234232729851415
TabPFN,20,5893,0.9755670024957724,0.8582871278057919,-0.0014083618731083102,-0.0037766060676217602,0.4638512704212654,0.513199447032237,-0.0014083618731083102
