market,model,seed,date,n_assets,ic_raw_target,ic_group_standardized_target,raw_vs_group_target_rank_correlation,year
us,FinPFN,42,2010-02-28,500,0.003813423528260617,-0.01722006888027552,0.976683545055398,2010
us,FinPFN,42,2010-03-31,500,0.011441518040668596,0.010770955083820335,0.9724974493297364,2010
us,FinPFN,42,2010-04-30,500,-0.101203388866442,-0.09263802966868291,0.9771985901303843,2010
us,FinPFN,42,2010-05-31,500,0.1927457974867874,0.20156183024732094,0.9715669875383853,2010
us,FinPFN,42,2010-06-30,500,0.17105522486065647,0.17930771044438282,0.9836926542437682,2010
us,FinPFN,42,2010-07-31,500,0.09651303763371576,0.0772054786748462,0.9892410434148885,2010
us,FinPFN,42,2010-08-31,500,0.2310911440955154,0.2156738866955468,0.9824173115593309,2010
us,FinPFN,42,2010-09-30,500,-0.013578066369593769,-0.041354134409036875,0.9728979148749209,2010
us,FinPFN,42,2010-10-31,500,-0.0999172068628666,-0.08530738122952491,0.963461843216628,2010
us,FinPFN,42,2010-11-30,500,-0.10868988848715264,-0.10465616764816675,0.9817812730863384,2010
us,FinPFN,42,2010-12-31,500,-0.11505441002417012,-0.11566894267577069,0.9805037356753981,2010
us,FinPFN,42,2011-01-31,500,0.02870800352100617,0.0006500186000744003,0.9598038462506776,2011
us,FinPFN,42,2011-02-28,500,-0.026484396480088105,0.0002418729732968446,0.9693240096149222,2011
us,FinPFN,42,2011-03-31,500,0.11390148507321173,0.11666120264481059,0.9856816860394663,2011
us,FinPFN,42,2011-04-30,500,0.09282825668029664,0.14164338257353026,0.9726583666962817,2011
us,FinPFN,42,2011-05-31,500,0.15808063149826737,0.1402240682616507,0.9661110203774064,2011
us,FinPFN,42,2011-06-30,500,0.10134857512376418,0.10615722462889851,0.9442263155509929,2011
us,FinPFN,42,2011-07-31,500,0.04723593521106579,0.05554457417829672,0.983512125257084,2011
us,FinPFN,42,2011-08-31,500,0.2294370713068891,0.20987724958310652,0.9812345733077059,2011
us,FinPFN,42,2011-09-30,500,0.30894204322216695,0.30438767774090886,0.9918810844213684,2011
us,FinPFN,42,2011-10-31,500,0.173864329476633,0.19242331831143294,0.9848366938764557,2011
us,FinPFN,42,2011-11-30,500,0.07751615638928182,0.06943640574562297,0.985138656274599,2011
us,FinPFN,42,2011-12-31,500,0.15228706307759096,0.138500234000936,0.9669360229828893,2011
us,FinPFN,42,2012-01-31,500,-0.024559551205651283,-0.0033512774855406022,0.9880708176984876,2012
us,FinPFN,42,2012-02-29,500,0.004682034952877495,-0.03193016048696581,0.9820656629713799,2012
us,FinPFN,42,2012-03-31,500,0.0491417337463366,0.0488690914763659,0.9797886786696433,2012
us,FinPFN,42,2012-04-30,500,0.08625587084716357,0.06197410389641558,0.9734871254046573,2012
us,FinPFN,42,2012-05-31,500,0.20820328112625627,0.2042263170181573,0.9646452154349373,2012
us,FinPFN,42,2012-06-30,500,0.06627356249613389,0.06602613768917809,0.9774817060372774,2012
us,FinPFN,42,2012-07-31,500,0.1702166611222445,0.17888721154884618,0.968673800439718,2012
us,FinPFN,42,2012-08-31,500,0.07558240377154835,0.0744981237804501,0.9893117482209218,2012
us,FinPFN,42,2012-09-30,500,-0.02503733875921334,-0.015011388766101742,0.9779353848574025,2012
us,FinPFN,42,2012-10-31,500,0.19184376202180797,0.18976559106236424,0.9863581738312875,2012
us,FinPFN,42,2012-11-30,500,0.11683117973656419,0.10505984423937696,0.9848618663575223,2012
us,FinPFN,42,2012-12-31,500,-0.041647559589779795,-0.030260089040356163,0.9894205414282589,2012
us,FinPFN,42,2013-01-31,500,0.051171195422088096,0.030586874347497392,0.9559093149391822,2013
us,FinPFN,42,2013-02-28,500,0.05325507507964199,0.0679839215673004,0.9766499638750733,2013
us,FinPFN,42,2013-03-31,500,-0.03519014244969667,0.018709226836907348,0.9733808682457559,2013
us,FinPFN,42,2013-04-30,500,0.07371793925637186,0.07725530287533879,0.9811816651135503,2013
us,FinPFN,42,2013-05-31,500,-0.10945152174540385,-0.10241868413278497,0.9767132147334017,2013
us,FinPFN,42,2013-06-30,500,0.035234833167512906,0.03949878294310257,0.9803177104365968,2013
us,FinPFN,42,2013-07-31,500,-0.13928322316128505,-0.08779897519590077,0.972903721663957,2013
us,FinPFN,42,2013-08-31,500,-0.06252644360640909,-0.03307990831963327,0.9827167384521556,2013
us,FinPFN,42,2013-09-30,500,0.017583867821638902,0.013500678650747193,0.945714763316401,2013
us,FinPFN,42,2013-10-31,500,0.0035666067800185336,-0.0013286453145812582,0.9849901937993734,2013
us,FinPFN,42,2013-11-30,500,-0.13102104237317969,-0.12603448813795254,0.9815889014718744,2013
us,FinPFN,42,2013-12-31,500,-0.0068416120232428785,-0.03998214392857571,0.9593081213260695,2013
us,FinPFN,42,2014-01-31,500,-0.04439029169190082,-0.016044928179712717,0.9822475121379303,2014
us,FinPFN,42,2014-02-28,500,-0.10686053626541019,-0.0749933879735519,0.9644680696084538,2014
us,FinPFN,42,2014-03-31,500,0.19990352920948645,0.18689057156228625,0.9689649943702981,2014
us,FinPFN,42,2014-04-30,500,0.23848353565774752,0.2738679754719019,0.9668781627177271,2014
us,FinPFN,42,2014-05-31,500,0.1717723872120862,0.15186617546470185,0.9762680565026595,2014
us,FinPFN,42,2014-06-30,500,-0.0979644102087867,-0.11943062172248689,0.9777051822856536,2014
us,FinPFN,42,2014-07-31,500,0.2568877697163854,0.28404075216300867,0.9795153655698313,2014
us,FinPFN,42,2014-08-31,500,0.14519565420609637,0.09811138680022051,0.9525685074438994,2014
us,FinPFN,42,2014-09-30,500,0.08889086116622592,0.07524577298309193,0.982029639536024,2014
us,FinPFN,42,2014-10-31,500,0.139130184346603,0.16161142220303726,0.9753919541881523,2014
us,FinPFN,42,2014-11-30,500,0.0763546800394791,0.10521633496610851,0.9714724848110741,2014
us,FinPFN,42,2014-12-31,500,-0.001104822010232881,-0.003366974275971027,0.9702545190463667,2014
us,FinPFN,42,2015-01-31,500,0.10478429503742534,0.08958060047233632,0.9704419899051656,2015
us,FinPFN,42,2015-02-28,500,0.02707000082776383,0.01602995211980848,0.9656505048313179,2015
us,FinPFN,42,2015-03-31,500,0.07007069878146205,0.08656388433307058,0.9632977466207654,2015
us,FinPFN,42,2015-04-30,500,0.12330262000679532,0.09311010044040176,0.9793702590054743,2015
us,FinPFN,42,2015-05-31,500,0.17230111347490754,0.16894617978471912,0.9750409069655924,2015
us,FinPFN,42,2015-06-30,500,-0.114836980152711,-0.11381162870947316,0.9666272576986403,2015
us,FinPFN,42,2015-07-31,500,0.2299739372001504,0.2196909847623667,0.9813645172610329,2015
