market,row_type,model,seed,n_dates,mean_ic,ic_std_ddof1,ir,mean_assets_per_date,prediction_coverage,failed_rows,ir_across_seed_std_ddof1,mean_ic_across_seed_std_ddof1,paper_reported_ir,ir_minus_paper
us,seed,FinPFN,42.0,143.0,0.06653733532163304,0.11274238586771246,0.5901714320619875,500.0,0.09131825241131274,0.0,,,0.77,-0.1798285679380125
us,seed,LightGBM,42.0,143.0,0.04323379247009084,0.07632907587999305,0.5664131521527178,500.0,1.0,0.0,,,0.78,-0.2135868478472822
us,seed,Ridge,42.0,143.0,0.043944317490418064,0.08139085266383699,0.5399171534904327,500.0,1.0,0.0,,,0.52,0.01991715349043266
us,seed,TabPFN,42.0,143.0,0.002113127278261444,0.11211687104069701,0.01884754059444279,500.0,0.09131825241131274,0.0,,,-0.04,0.05884754059444279
us,seed_mean,FinPFN,,143.0,0.06653733532163304,0.11274238586771246,0.5901714320619875,500.0,0.09131825241131274,0.0,,,0.77,-0.1798285679380125
us,seed_mean,LightGBM,,143.0,0.04323379247009084,0.07632907587999305,0.5664131521527178,500.0,1.0,0.0,,,0.78,-0.2135868478472822
us,seed_mean,Ridge,,143.0,0.043944317490418064,0.08139085266383699,0.5399171534904327,500.0,1.0,0.0,,,0.52,0.01991715349043266
us,seed_mean,TabPFN,,143.0,0.002113127278261444,0.11211687104069701,0.01884754059444279,500.0,0.09131825241131274,0.0,,,-0.04,0.05884754059444279
