date,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9,decile_10,long_short,model,seed,return_basis
2010-02-28,5.48087643999999,3.176506,3.868600439999989,5.460602,1.941462,4.959042,3.801818,2.084614,2.4021559999999997,4.738434,-0.7424424399999898,FinPFN,42,raw
2010-03-31,5.775376,6.236523999999999,6.243822,8.09401,7.336232,6.992928000000001,6.128328,6.500038,6.014496,5.7587824399999885,-0.01659356000001111,FinPFN,42,raw
2010-04-30,15.922332639999937,7.032096439999989,4.849422000000001,5.742422,3.91155,6.927722879999979,5.863252439999989,4.226206,4.23002,3.024266,-12.898066639999936,FinPFN,42,raw
2010-05-31,-10.59815956000001,-9.571796,-10.10219556000001,-6.844504,-7.541948,-5.689628,-6.842942000000001,-7.727437999999999,-6.422068,-6.31499,4.28316956000001,FinPFN,42,raw
2010-06-30,-8.338686000000001,-9.34191,-6.978386,-6.0133659999999995,-5.295134000000001,-5.039178,-4.819088,-3.366944,-2.746902,-4.6968119999999995,3.6418740000000014,FinPFN,42,raw
2010-07-31,1.9131279999999997,7.91785043999999,2.6148439999999997,4.275806,8.55082,7.664842,5.808796,4.615368,5.9733979999999995,6.9634204399999895,5.05029243999999,FinPFN,42,raw
2010-08-31,-8.361396,-7.124346,-4.401338,-7.15187,-6.821459999999999,-3.925646,-3.21117,-3.492226,-1.3536860000000002,-2.698992,5.662403999999999,FinPFN,42,raw
2010-09-30,10.584726879999979,12.049798439999988,8.886420000000001,9.79093,10.76771443999999,10.07321,11.35725443999999,10.105678000000001,8.365926,10.02432043999999,-0.5604064399999888,FinPFN,42,raw
2010-10-31,4.196682439999989,6.183822,8.28496043999999,1.951212,3.1364900000000002,2.8313479999999998,3.124194,3.0756560000000004,2.5623560000000003,2.0918099999999997,-2.1048724399999896,FinPFN,42,raw
2010-11-30,5.330039759999957,3.3499540000000003,3.224012439999989,3.977780439999989,3.033242,0.4956199999999999,0.85247,0.6626320000000001,-0.9113899999999999,2.5923028799999788,-2.7377368799999786,FinPFN,42,raw
2010-12-31,10.978212439999988,10.276407999999998,9.164112,9.91815443999999,5.23796,4.61166,6.173966,7.077476000000001,5.355042,10.438322439999988,-0.5398899999999998,FinPFN,42,raw
2011-01-31,0.8803920000000001,2.734544,0.4551560000000002,2.131938,-0.0750459999999999,-0.29869,0.4356239999999999,3.3429164399999896,0.21809599999999998,0.69184,-0.18855200000000005,FinPFN,42,raw
2011-02-28,6.655806439999989,6.291838439999989,5.831148,3.141422,5.309864,5.1110739999999995,4.701486,3.3629720000000005,3.907718,2.536152,-4.119654439999989,FinPFN,42,raw
2011-03-31,-3.334714,-1.4096040000000003,0.333412,-1.152848,2.61934,1.5513659999999998,0.03722000000000001,2.720338,0.38064799999999993,-0.8452575600000106,2.4894564399999894,FinPFN,42,raw
2011-04-30,5.225352439999989,0.05282200000000003,-0.1762900000000001,0.6468219999999999,2.0225,0.701542,3.828138,1.356746,2.48018,1.395374,-3.8299784399999894,FinPFN,42,raw
2011-05-31,-4.06495556000001,-2.632368,-3.0423175600000105,-1.133708,-3.001248,0.08773599999999995,-1.966488,1.7076079999999998,-1.6272460000000002,-0.165422,3.8995335600000103,FinPFN,42,raw
2011-06-30,-5.329852,-3.139485560000011,0.6416540000000001,-3.263966,-0.5251300000000001,-2.737914,-1.349752,-3.290948,-0.867604,-1.7283555600000107,3.6014964399999894,FinPFN,42,raw
2011-07-31,-3.8095339999999998,-1.6392600000000002,-2.6484039999999998,-1.9163740000000002,-1.50537,-4.926894,-2.311152,-1.457338,-2.203484,-1.910722,1.8988119999999997,FinPFN,42,raw
2011-08-31,-13.1713,-11.13380556000001,-11.724768,-9.320964,-7.455077999999999,-9.275236,-8.431802,-4.231517560000011,-6.755402,-3.592798,9.578502,FinPFN,42,raw
2011-09-30,-15.923528,-13.6691,-13.642567999999999,-14.319616000000002,-6.4362215600000106,-11.427100000000001,-9.576576,-8.987608,-6.582967999999999,-3.8879235600000106,12.03560443999999,FinPFN,42,raw
