model,seed,return_basis,annualization,n_dates,bottom_decile_sharpe,top_decile_sharpe,notebook_sharpe_spread,primary_long_short_sharpe,bottom_cumulative_percentage_points,top_cumulative_percentage_points,long_short_cumulative_percentage_points
FinPFN,42,raw,12,143,-0.10617850520021417,0.9427434370556516,1.0489219422558658,1.0399494884616163,-30.62100788000185,178.90257219999944,209.52358008000127
FinPFN,42,artifact_cross_sectional_excess,12,143,-1.1052145606808395,0.4593855891285386,1.564600149809378,1.0399494884616163,-168.3987735920013,41.12480648799994,209.52358008000127
LightGBM,42,raw,12,143,-0.21097930566907638,0.9427361913491067,1.153715497018183,1.6195312581021046,-61.81791148000141,245.12609707999886,306.94400856000027
LightGBM,42,artifact_cross_sectional_excess,12,143,-1.3043186087375191,1.021018474236512,2.3253370829740314,1.6195312581021046,-199.59567719200086,107.34833136799939,306.94400856000027
Ridge,42,raw,12,143,-0.09883292938200341,0.9632459772955513,1.0620789066775547,1.5915836804534567,-22.554794080000743,243.23260683999933,265.7874009200001
Ridge,42,artifact_cross_sectional_excess,12,143,-1.4649453757035078,1.1734279028838372,2.638373278587345,1.5915836804534567,-160.33255979200018,105.45484112799988,265.7874009200001
TabPFN,42,raw,12,143,0.27608895826195956,0.4018725431667013,0.12578358490474173,-0.008742581775104006,85.36980935999844,83.6093169599991,-1.7604923999993574
TabPFN,42,artifact_cross_sectional_excess,12,143,-0.35556438386963507,-0.5275561528891299,-0.17199176901949487,-0.008742581775104058,-52.407956352001,-54.16844875200037,-1.760492399999368
