model,seed,uncertainty_signal,requested_coverage,realized_coverage,n_asset_dates,n_dates,mean_ic,ic_std_ddof1,ir,gross_long_short_mean_return_decimal,gross_long_short_sharpe,average_total_one_way_turnover_including_initial,fixed_cost_bps,net_long_short_mean_return_decimal,net_long_short_sharpe,mean_long_positions,mean_short_positions
FinPFN,42,mean_median_disagreement,0.6,0.5833333333333334,28,1,0.11439518336070059,,,0.008881408505687425,,2.0,10,0.0068814085056874245,,2.0,3.0
FinPFN,42,mean_median_disagreement,0.4,0.3958333333333333,19,1,-0.3614035087719299,,,-0.00650388761687079,,2.0,10,-0.00850388761687079,,1.0,2.0
FinPFN,42,mean_median_disagreement,0.2,0.20833333333333334,10,1,-0.6606060606060605,,,-0.033773644403218804,,2.0,10,-0.035773644403218806,,1.0,1.0
FinPFN,42,predictive_interval_width,1.0,1.0,48,1,-0.046419459878518386,,,-0.004849099422358522,,2.0,10,-0.006849099422358522,,4.0,5.0
FinPFN,42,predictive_interval_width,0.8,0.7916666666666666,38,1,0.040378617995547914,,,0.01320438738159158,,2.0,10,0.01120438738159158,,3.0,4.0
FinPFN,42,predictive_interval_width,0.6,0.5833333333333334,28,1,0.021346469622331693,,,0.003619730637665415,,2.0,10,0.001619730637665415,,2.0,3.0
FinPFN,42,predictive_interval_width,0.4,0.3958333333333333,19,1,-0.11929824561403508,,,-0.00650388761687079,,2.0,10,-0.00850388761687079,,1.0,2.0
FinPFN,42,predictive_interval_width,0.2,0.20833333333333334,10,1,-0.3696969696969697,,,-0.008049630142706097,,2.0,10,-0.010049630142706097,,1.0,1.0
FinPFN,42,predictive_std,1.0,1.0,48,1,-0.046419459878518386,,,-0.004849099422358522,,2.0,10,-0.006849099422358522,,4.0,5.0
FinPFN,42,predictive_std,0.8,0.7916666666666666,38,1,0.040378617995547914,,,0.01320438738159158,,2.0,10,0.01120438738159158,,3.0,4.0
FinPFN,42,predictive_std,0.6,0.5833333333333334,28,1,0.021346469622331693,,,0.003619730637665415,,2.0,10,0.001619730637665415,,2.0,3.0
FinPFN,42,predictive_std,0.4,0.3958333333333333,19,1,-0.11929824561403508,,,-0.00650388761687079,,2.0,10,-0.00850388761687079,,1.0,2.0
FinPFN,42,predictive_std,0.2,0.20833333333333334,10,1,-0.3696969696969697,,,-0.008049630142706097,,2.0,10,-0.010049630142706097,,1.0,1.0
TabPFN,42,total_member_sd,1.0,1.0,48,1,0.06705033093563767,,,0.019541763306252086,,2.0,10,0.017541763306252088,,4.0,5.0
TabPFN,42,total_member_sd,0.8,0.7916666666666666,38,1,0.1763160817110504,,,0.02866558710936839,,2.0,10,0.026665587109368387,,3.0,4.0
TabPFN,42,total_member_sd,0.6,0.5833333333333334,28,1,0.027914614121510674,,,0.017182763230680694,,2.0,10,0.015182763230680693,,2.0,3.0
TabPFN,42,total_member_sd,0.4,0.3958333333333333,19,1,-0.3350877192982456,,,-0.002249520221557859,,2.0,10,-0.0042495202215578586,,1.0,2.0
TabPFN,42,total_member_sd,0.2,0.20833333333333334,10,1,-0.07878787878787878,,,-0.007611833307358545,,2.0,10,-0.009611833307358545,,1.0,1.0
TabPFN,42,within_group_ensemble_sd,1.0,1.0,48,1,0.06705033093563767,,,0.019541763306252086,,2.0,10,0.017541763306252088,,4.0,5.0
TabPFN,42,within_group_ensemble_sd,0.8,0.7916666666666666,38,1,0.1763160817110504,,,0.02866558710936839,,2.0,10,0.026665587109368387,,3.0,4.0
TabPFN,42,within_group_ensemble_sd,0.6,0.5833333333333334,28,1,0.027914614121510674,,,0.017182763230680694,,2.0,10,0.015182763230680693,,2.0,3.0
TabPFN,42,within_group_ensemble_sd,0.4,0.3958333333333333,19,1,-0.3350877192982456,,,-0.002249520221557859,,2.0,10,-0.0042495202215578586,,1.0,2.0
TabPFN,42,within_group_ensemble_sd,0.2,0.20833333333333334,10,1,-0.07878787878787878,,,-0.007611833307358545,,2.0,10,-0.009611833307358545,,1.0,1.0
TabPFN,42,ensemble_mad,1.0,1.0,48,1,0.06705033093563767,,,0.019541763306252086,,2.0,10,0.017541763306252088,,4.0,5.0
TabPFN,42,ensemble_mad,0.8,0.7916666666666666,38,1,0.06303003784670894,,,0.021160957810105345,,2.0,10,0.019160957810105343,,3.0,4.0
TabPFN,42,ensemble_mad,0.6,0.5833333333333334,28,1,0.20853858784893267,,,0.05178025781167073,,2.0,10,0.049780257811670725,,2.0,3.0
TabPFN,42,ensemble_mad,0.4,0.3958333333333333,19,1,0.19649122807017544,,,0.015816559001367483,,2.0,10,0.013816559001367483,,1.0,2.0
TabPFN,42,ensemble_mad,0.2,0.20833333333333334,10,1,0.3939393939393939,,,0.02206939344228497,,2.0,10,0.02006939344228497,,1.0,1.0
TabPFN,42,ensemble_iqr,1.0,1.0,48,1,0.06705033093563767,,,0.019541763306252086,,2.0,10,0.017541763306252088,,4.0,5.0
