model,seed,uncertainty_signal,uncertainty_quantile,n_asset_dates,mean_absolute_cross_sectional_z_error,mean_absolute_rank_error,mean_next_rank_instability,predicted_tail_count,tail_selection_precision
TabPFN,42,ensemble_iqr,1,9,0.6587969090549612,0.22916666666666666,,1,0.0
TabPFN,42,ensemble_iqr,2,10,0.5563750206267459,0.2,,0,
TabPFN,42,ensemble_iqr,3,9,0.9499243100362642,0.33564814814814814,,0,
TabPFN,42,ensemble_iqr,4,10,0.9879556113496373,0.33229166666666665,,3,0.3333333333333333
TabPFN,42,ensemble_iqr,5,10,1.7295685653574657,0.453125,,5,0.2
TabPFN,42,member_rank_disagreement,1,9,1.4451860812354371,0.33796296296296297,,7,0.2857142857142857
TabPFN,42,member_rank_disagreement,2,10,0.832159423343863,0.3145833333333333,,2,0.0
TabPFN,42,member_rank_disagreement,3,9,1.057434600169409,0.32060185185185186,,0,
TabPFN,42,member_rank_disagreement,4,10,0.5806996202841828,0.2520833333333333,,0,
TabPFN,42,member_rank_disagreement,5,10,1.056530637623545,0.334375,,0,
TabPFN,42,group_composition_sd,1,9,0.7916008982930126,0.29282407407407407,,2,0.5
TabPFN,42,group_composition_sd,2,10,0.9231830878030742,0.3041666666666667,,1,0.0
TabPFN,42,group_composition_sd,3,9,1.0756540873136098,0.27546296296296297,,1,0.0
TabPFN,42,group_composition_sd,4,10,0.911219292684299,0.31666666666666665,,2,0.0
TabPFN,42,group_composition_sd,5,10,1.206816426982619,0.3614583333333333,,3,0.3333333333333333
TabPFN,42,mean_median_disagreement,1,9,0.5232699440780632,0.2592592592592593,,0,
TabPFN,42,mean_median_disagreement,2,10,0.8360375853460763,0.278125,,0,
TabPFN,42,mean_median_disagreement,3,9,0.649169505294857,0.20833333333333334,,1,0.0
TabPFN,42,mean_median_disagreement,4,10,1.2235668314986912,0.4020833333333333,,1,0.0
TabPFN,42,mean_median_disagreement,5,10,1.6069483732355572,0.3927083333333333,,7,0.2857142857142857
TabPFN,42,predictive_interval_width,1,9,0.652207319223565,0.2384259259259259,,1,0.0
TabPFN,42,predictive_interval_width,2,10,0.6086967812530939,0.25625,,0,
TabPFN,42,predictive_interval_width,3,9,0.9161443755821926,0.29050925925925924,,1,0.0
TabPFN,42,predictive_interval_width,4,10,1.3170772749545074,0.38333333333333336,,3,0.0
TabPFN,42,predictive_interval_width,5,10,1.3844577129831686,0.378125,,4,0.5
TabPFN,42,predictive_std,1,9,0.652207319223565,0.2384259259259259,,1,0.0
TabPFN,42,predictive_std,2,10,0.6086967812530939,0.25625,,0,
TabPFN,42,predictive_std,3,9,0.9161443755821926,0.29050925925925924,,1,0.0
TabPFN,42,predictive_std,4,10,1.2735773690239605,0.38541666666666663,,3,0.0
TabPFN,42,predictive_std,5,10,1.4279576189137155,0.3760416666666667,,4,0.5
